name,company,workarea,salary,requirements,company_type,company_size
数据分析工程师,广州千河物流有限公司,苏州-工业园区,0.6-1万/月,"['2年经验', '本科']",民营公司,少于50人
计算机数据分析人员（双休）,贵州碧云阁科技有限公司,贵阳,5-8千/月,"['无需经验', '高中']",民营公司,150-500人
数据分析主管,广州美光盛世科技有限公司,广州-天河区,6-8千/月,"['3-4年经验', '大专']",民营公司,少于50人
图像处理与数据分析科学家,南京景三医疗科技有限公司,济南-槐荫区,4-6万/月,"['3-4年经验', '博士']",民营公司,50-150人
金融数据分析师,北京盛业恒泰投资有限公司,北京,0.8-1.2万/月,"['1年经验', '大专']",合资,150-500人
数据分析师/主管（零售方向）,珠海何方珠宝有限公司,异地招聘,0.8-1万/月,"['2年经验', '本科']",民营公司,50-150人
车辆管理/数据分析,中联利拓融资租赁股份有限公司,广州-天河区,4.5-5千/月,"['无需经验', '大专']",外资（非欧美）,50-150人
数据分析师+五险一金+贝壳平台,重庆闹海房江湖信息科技有限公司,重庆-渝北区,0.8-1万/月,"['1年经验', '本科']",民营公司,1000-5000人
金融数据分析师（不带销售性质）,重庆赢华汇科技有限公司,重庆-渝中区,0.5-1万/月,"['1年经验', '大专']",民营公司,50-150人
金融数据分析师,广州科曼达数据科技有限公司,广州-天河区,6-8千/月,"['1年经验', '中专']",民营公司,50-150人
数据分析师,汇泉（上海）洋酒贸易有限公司,上海-静安区,0.9-1.3万/月,"['2年经验', '本科']",外资（非欧美）,150-500人
数据分析员（双休）,广州市澳之星商贸发展有限公司,广州-白云区,4-7千/月,"['1年经验', '大专']",民营公司,150-500人
数据分析师,通联数据股份公司,南京-建邺区,6-8千/月,"['2年经验', '本科']",合资,5000-10000人
数据分析师,西安明智康汇信息科技有限公司,西安-高新技术产业开发区,6-8千/月,"['1年经验', '本科']",民营公司,50-150人
数据分析师,深圳八方安运电子商务有限公司,深圳-宝安区,6-8千/月,"['1年经验', '本科']",民营公司,少于50人
数据分析岗（2020应届生）,深圳市亚飞电子商务有限公司,深圳-龙岗区,5-8千/月,"['无需经验', '大专']",民营公司,500-1000人
数据分析师,51Talk无忧英语,上海-徐汇区,1-1.5万/月,"['2年经验', '本科']",民营公司,500-1000人
数据分析师 +年终奖+双休,深圳市德科信息技术有限公司,广州-天河区,0.8-1万/月,"['2年经验', '本科']",合资,1000-5000人
保底6000销售业务数据分析ab,成翰信息,上海,1.5-3万/月,"['无需经验', '大专']",合资,500-1000人
数据分析岗,越秀地产IT共享中心,广州-天河区,10-20万/年,"['2年经验', '本科']",国企,50-150人
数据分析Leader,深圳弘广商科技有限公司,异地招聘,2.5-4.5万/月,"['无需经验', '本科']",民营公司,150-500人
数据分析员,深圳德坚科技有限公司,深圳-龙岗区,6-8千/月,"['2年经验', '本科']",民营公司,50-150人
包吃住数据分析专员,旭禾泽畔集团,苏州-相城区,5.5-6.5千/月,"['无需经验', '大专']",民营公司,50-150人
客户数据分析专员+大学城,重庆日日新网络科技有限责任公司,重庆-沙坪坝区,3-5千/月,"['无需经验', '中专']",民营公司,50-150人
大数据分析岗,中荷人寿保险有限公司北京分公司,北京-石景山区,1.5-2万/月,"['3-4年经验', '硕士']",合资,150-500人
数据分析员/数据专员,江西中体商贸有限公司,南昌-红谷滩新区,3-4.5千/月,['本科'],民营公司,500-1000人
数据分析师（自助分析方向） (MJ000224),广州市钱大妈农产品有限公司,广州-海珠区,1.5-2万/月,"['3-4年经验', '本科']",民营公司,1000-5000人
数据分析师,武汉毓帆科技有限公司,武汉-武昌区,1.5-2万/月,"['3-4年经验', '大专']",民营公司,少于50人
内审部_审计师(数据分析及平台建设方向),百度（中国）有限公司东莞分公司,北京-海淀区,2-2.5万/月,"['3-4年经验', '本科']",上市公司,5000-10000人
数据分析实习生,深圳市龙岗区乾盛互联网开发工作室,深圳-龙岗区,5.5-8.5千/月,"['无需经验', '大专']",民营公司,少于50人
亚马逊数据分析专员,江苏华鸿德科技发展有限公司,无锡-惠山区,4.5-6千/月,"['1年经验', '大专']",民营公司,50-150人
数据分析师,广东新乐食品有限公司（都市牧场）,异地招聘,4.5-6千/月,"['3-4年经验', '本科']",民营公司,500-1000人
数据分析师,深圳樱吉尔企业咨询管理有限公司,深圳-福田区,1.3-2.6万/月,"['3-4年经验', '本科']",民营公司,少于50人
金融数据分析Q10771,北京华鼎科技有限公司,北京-丰台区,1-1.5万/月,"['1年经验', '本科']",合资,50-150人
广告数据分析员,深圳市阿思特科技有限公司,深圳-龙岗区,5-8千/月,"['无需经验', '大专']",民营公司,150-500人
数据分析师,上海点欣科技有限公司,上海,0.8-1万/月,"['2年经验', '本科']",民营公司,50-150人
数据分析师,含劲（上海）智能科技有限公司,上海,1-1.5万/月,"['5-7年经验', '本科']",民营公司,150-500人
人力资源数据分析师,郑州企爱恺科技有限公司,郑州-管城回族区,3-6千/月,"['在校生/应届生', '大专']",民营公司,50-150人
数据分析师,深圳市松岗琥珀交易市场有限公司,深圳-宝安区,0.5-1万/月,"['3-4年经验', '本科']",民营公司,150-500人
高级数据分析师,广州市昊志机电股份有限公司,广州-黄埔区,1-1.5万/月,"['3-4年经验', '大专']",上市公司,1000-5000人
运营数据分析工程师,浙江昊杨新能源科技有限公司,湖州-长兴县,10-18万/年,"['3-4年经验', '大专']",上市公司,1000-5000人
电商AI系统数据分析师,百胜咨询（上海）有限公司,上海-徐汇区,2-2.5万/月,"['3-4年经验', '本科']",外资（欧美）,500-1000人
教研员(数据分析方向）,风变科技（深圳）有限公司,深圳-南山区,1-2万/月,"['在校生/应届生', '本科']",民营公司,500-1000人
电商数据分析专员/提供住宿,广州碳思科技有限公司,广州-白云区,7-9千/月,"['1年经验', '大专']",民营公司,50-150人
数据分析师,浙江英树生物科技有限公司,杭州-萧山区,1.2-1.8万/月,"['3-4年经验', '本科']",民营公司,150-500人
数据分析师,温州市鹿城区中津先进科技研究院,杭州-江干区,0.6-1万/月,"['1年经验', '硕士']",民营公司,50-150人
数据分析主管,徐州鑫宇光伏科技有限公司,徐州,6-8千/月,"['5-7年经验', '大专']",上市公司,1000-5000人
数据分析师/双休,成都新视角商贸有限公司,成都-温江区,4.5-6千/月,"['1年经验', '大专']",民营公司,50-150人
数据分析/五险一金/朝九晚六,四川奇迹众创科技有限公司,重庆-沙坪坝区,3-5千/月,"['无需经验', '大专']",民营公司,少于50人
数据分析（接受应届生）,四川榛途科技有限公司,成都-双流区,3.5-6千/月,"['无需经验', '大专']",民营公司,少于50人
数据分析师/朝九晚六/双休,四川华古科技有限责任公司,成都-新都区,4-8千/月,"['无需经验', '大专']",民营公司,少于50人
数据分析师,浙江简成医疗科技有限公司,杭州-拱墅区,0.8-1.6万/月,"['1年经验', '本科']",民营公司,150-500人
数据分析/五险一金/朝九晚六,成都睿智唯生物科技有限公司,成都-龙泉驿区,4.5-6千/月,"['无需经验', '大专']",民营公司,50-150人
销售数据分析,安徽省才莱商贸有限公司,合肥,4-6千/月,"['无需经验', '本科']",民营公司,500-1000人
数据分析师（提成+双休）,中国平安人寿保险股份有限公司重庆市江北支公司,重庆-江北区,6-8千/月,"['在校生/应届生', '大专']",民营公司,50-150人
金融中心数据分析助理（正式编制+周末双休）,中国平安人寿保险股份有限公司四川分公司,成都-锦江区,6-8千/月,"['3-4年经验', '大专']",民营公司,10000人以上
供电局数据分析师,广州聚点量子网络科技有限公司,广州-天河区,0.8-1万/月,"['1年经验', '本科']",民营公司,150-500人
数据分析师/周末双休,四川挚爱科技有限公司,成都,3-7千/月,"['无需经验', '大专']",民营公司,少于50人
数据分析经理,杭州德臻信息咨询服务有限公司,杭州-滨江区,0.8-1万/月,"['8-9年经验', '大专']",民营公司,500-1000人
500强外企招Data Analyst数据分析师,杭州咔悠电子商务有限公司,上海-徐汇区,0.9-1万/月,"['在校生/应届生', '本科']",民营公司,500-1000人
数据分析文员/接受实习,陕西众鸟网络科技有限公司,西安-碑林区,5-7.5千/月,"['无需经验', '大专']",民营公司,150-500人
数据分析专员（无压力）,张家口智多星科技有限公司,西安-高新技术产业开发区,6-8千/月,"['无需经验', '大专']",民营公司,150-500人
数据分析师,上海海狮龙生化技术有限公司（可贝尔）,上海-徐汇区,6-9千/月,"['1年经验', '本科']",合资,150-500人
数据分析,深圳盈富斯科技有限公司,广州-番禺区,5-6千/月,"['2年经验', '大专']",外资（欧美）,150-500人
通信数据分析工程师实习生,安徽致一科技发展有限公司,合肥-庐阳区,4.5-6千/月,"['无需经验', '大专']",民营公司,50-150人
服装数据分析师,广东爱依服商贸有限公司,异地招聘,1-2万/月,"['3-4年经验', '大专']",民营公司,500-1000人
数据分析,上海阜坤信息科技有限公司,上海-闵行区,1-1.5万/月,"['2年经验', '本科']",民营公司,150-500人
数据分析员,常州市豪凌车业有限公司,常州-新北区,4-5千/月,"['1年经验', '大专']",民营公司,150-500人
诚聘数据分析师,辽宁荷紫电子商务有限公司,西安-高新技术产业开发区,4-7千/月,"['1年经验', '大专']",民营公司,500-1000人
运营部数据分析专员,中国出国人员服务总公司,三亚,0.7-2万/月,"['在校生/应届生', '本科']",国企,1000-5000人
管理培训生（数据分析/电商运营）,广州四季沐歌智能家居有限公司,广州-番禺区,0.7-1万/月,"['在校生/应届生', '硕士']",民营公司,150-500人
电商数据分析管理员,苏州市金屋贸易发展有限公司,苏州-高新区,0.6-1万/月,"['3-4年经验', '大专']",民营公司,150-500人
大数据分析员,长沙天地宽网络科技有限公司,长沙,4-8千/月,"['3-4年经验', '大专']",民营公司,150-500人
数据分析专员,德津实业发展（深圳）有限公司,深圳-福田区,6-8千/月,"['3-4年经验', '本科']",民营公司,500-1000人
数据分析助理,宁波盛和灯饰有限公司,宁波-鄞州区,4-6千/月,"['无需经验', '大专']",民营公司,150-500人
Data Analytics Expert/数据分析专家_AA,博世汽车技术服务（中国）有限公司,上海,,['3-4年经验'],外资（欧美）,1000-5000人
大数据分析工程师,惠州亿纬锂能股份有限公司,惠州,0.8-1.6万/月,"['2年经验', '本科']",上市公司,5000-10000人
数据分析师,广州奥太信科技有限公司,广州-海珠区,0.6-1万/月,"['3-4年经验', '大专']",民营公司,150-500人
数据分析（应届生亦可）,美律电子（深圳）有限公司,深圳,5.5-6千/月,"['在校生/应届生', '本科']",外资（非欧美）,10000人以上
数据分析,济南温商商贸有限公司,济南,4.5-6千/月,"['2年经验', '大专']",民营公司,500-1000人
金融数据分析助理（六险包住）,深圳市上鼎创新实业有限公司,深圳-南山区,5.2-7.8千/月,"['无需经验', '大专']",民营公司,50-150人
数据分析师-Oli,沈阳宝顺安安全设备有限公司,沈阳-和平区,4.5-6千/月,"['2年经验', '本科']",民营公司,150-500人
服装行业数据分析员,东莞市丁螺时装有限公司,东莞-虎门镇,6-8千/月,"['1年经验', '高中']",民营公司,500-1000人
数据分析师 分析处理,青岛五纪文化传媒有限公司,青岛-市北区,6-8千/月,"['无需经验', '大专']",民营公司,150-500人
亚马逊数据分析员,深圳市狮狼科技有限公司,深圳-南山区,0.8-1万/月,"['2年经验', '大专']",民营公司,少于50人
信息数据分析管理,义乌市锐超相框有限公司,义乌,4.5-6千/月,"['3-4年经验', '大专']",民营公司,150-500人
数据分析师（集团总部）,上海全筑建筑装饰集团股份有限公司,上海-徐汇区,20-30万/年,"['3-4年经验', '本科']",上市公司,1000-5000人
高级大数据分析专家,哈尔滨天源石化工程设计有限责任公司,哈尔滨,0.8-1.5万/月,"['5-7年经验', '本科']",民营公司,500-1000人
物流储干（计划运营、数据分析）,浙江一鸣食品股份有限公司,温州,3.5-5千/月,"['在校生/应届生', '大专']",民营公司,5000-10000人
数据分析/交易员,广州汇利鑫信息咨询有限公司,广州-天河区,0.8-1万/月,"['1年经验', '大专']",民营公司,50-150人
数据分析师,佛山市德朗司科技有限公司,佛山-南海区,0.5-1万/月,"['3-4年经验', '本科']",民营公司,50-150人
数据分析师,南通市测绘院有限公司,南通,6-8千/月,"['2年经验', '本科']",民营公司,150-500人
数据分析师,广东顺德酒厂有限公司,佛山-顺德区,6-8千/月,"['3-4年经验', '本科']",民营公司,500-1000人
会员数据分析岗,钻石世家国际珠宝有限公司,广州-天河区,0.7-1万/月,"['3-4年经验', '本科']",民营公司,1000-5000人
数据分析师 /交易员,江苏汐铭网络科技有限公司,常州-钟楼区,0.6-1.2万/月,['无需经验'],民营公司,50-150人
商品数据分析,上海雪中飞实业有限公司,常熟,0.5-1万/月,"['2年经验', '大专']",民营公司,1000-5000人
业务运营/数据分析,杭州顺网科技股份有限公司,杭州,1-1.5万/月,"['3-4年经验', '本科']",上市公司,1000-5000人
数据分析助理,深圳市易佰网络科技有限公司,深圳-龙岗区,4.5-6千/月,"['在校生/应届生', '大专']",民营公司,1000-5000人
数据分析师,安居客,合肥-蜀山区,0.8-1万/月,"['3-4年经验', '本科']",上市公司,10000人以上
数据分析专员/五险一金,海口市鸿鹄网络科技有限公司,海口-秀英区,3.6-5.9千/月,"['无需经验', '中专']",民营公司,50-150人
数据分析师,中科创达软件股份有限公司,南京-雨花台区,1.5-2万/月,"['在校生/应届生', '本科']",上市公司,1000-5000人
影商城-数据分析专员,深圳影儿时尚集团有限公司,深圳-龙华区,6-9千/月,"['2年经验', '本科']",合资,5000-10000人
数据分析师,长威信息科技发展股份有限公司,福州,0.9-1.8万/月,"['3-4年经验', '本科']",民营公司,500-1000人
金融分析师数据分析师,深圳市简凡教育咨询有限公司,深圳-福田区,500元/天,"['无需经验', '硕士']",民营公司,50-150人
数据分析师,宁夏秦宇科技有限公司,中卫,5-8千/月,"['1年经验', '本科']",民营公司,少于50人
大数据分析工程师,仁和药业股份有限公司,异地招聘,0.6-1.2万/月,"['2年经验', '大专']",上市公司,5000-10000人
环保化工质检数据分析助理+双休,河南拓端长营科技有限公司,郑州-郑东新区,0.3-1万/月,"['在校生/应届生', '大专']",合资,50-150人
运营服务数据分析岗,京东物流西南分公司,重庆-巴南区,6-8千/月,"['1年经验', '大专']",民营公司,10000人以上
数据分析师,全友家私有限公司,成都,0.8-1万/月,"['3-4年经验', '大专']",民营公司,10000人以上
数据分析工程师,成都子钦众和数码科技有限责任公司,成都-高新区,5-6千/月,"['1年经验', '大专']",民营公司,150-500人
数据分析助理/实习生,西安普锐软件科技有限公司,深圳-南山区,6-8千/月,"['无需经验', '中专']",民营公司,150-500人
运营数据分析专员,深圳市正君餐饮管理顾问有限公司,深圳-南山区,6-8千/月,"['2年经验', '大专']",民营公司,5000-10000人
数据分析师,海科集团,东营,0.8-1万/月,"['在校生/应届生', '本科']",民营公司,
诚邀高级数据分析师   不加班,北京蚂蚁嘉汇科技有限公司,北京-朝阳区,0.8-1万/月,"['1年经验', '大专']",民营公司,50-150人
德邦快递 嘉兴 数据分析师,德邦快递,嘉兴-秀洲区,5-9千/月,"['2年经验', '本科']",民营公司,
数据分析专员-互联天下,周大生珠宝股份有限公司,深圳-罗湖区,5-8千/月,"['2年经验', '大专']",上市公司,1000-5000人
行业研究/绩效/数据分析,新聚（徐州）安全科技有限公司,异地招聘,6-8千/月,"['3-4年经验', '大专']",民营公司,50-150人
数据分析专员,济南南桔网络科技有限公司,济南-历下区,3.5-6千/月,"['1年经验', '大专']",民营公司,150-500人
商品数据分析,芙丽芙丽实业（深圳）有限公司,东莞-虎门镇,6-8千/月,"['3-4年经验', '大专']",上市公司,150-500人
大数据分析,宁波腾智信息技术有限公司,宁波-高新区,8-10万/年,"['3-4年经验', '本科']",民营公司,50-150人
数据分析助理,广州德伦医疗投资有限公司,广州-越秀区,4.5-6千/月,['大专'],民营公司,500-1000人
数据分析师（双休）,广州千春信用管理有限公司,广州-白云区,4-6千/月,"['1年经验', '大专']",民营公司,150-500人
理赔数据分析岗,现代财产保险（中国）有限公司,北京,1.2-1.6万/月,"['3-4年经验', '本科']",外资（非欧美）,50-150人
数据分析师,贵州赫思图商贸有限公司,贵阳,6-8千/月,"['2年经验', '大专']",民营公司,少于50人
数据分析专员,深圳市路通网络技术有限公司,深圳,1-1.5万/月,"['2年经验', '本科']",民营公司,500-1000人
数据分析师,浙江怡联网络科技股份有限公司,温州,0.5-1万/月,"['1年经验', '本科']",民营公司,50-150人
数据分析专员,无锡恒博纺织有限公司,无锡-锡山区,5-8千/月,"['3-4年经验', '大专']",民营公司,5000-10000人
数据分析师,卓越质胜（北京）科技发展有限公司,成都-武侯区,3-5千/月,"['在校生/应届生', '本科']",民营公司,50-150人
数据分析专员,陕西雷风网络科技有限公司,重庆-渝中区,4-7千/月,"['无需经验', '大专']",民营公司,50-150人
大数据分析专员,深圳市纽尔科技有限公司,深圳-罗湖区,0.5-1万/月,"['1年经验', '大专']",民营公司,500-1000人
数据分析师,成都龙捷科技有限公司,深圳-南山区,0.7-1.1万/月,"['在校生/应届生', '大专']",民营公司,50-150人
数据分析师,上海致兴科技发展有限公司,上海-杨浦区,1-1.5万/月,"['5-7年经验', '本科']",民营公司,50-150人
运营数据分析员,德邦快递,东莞,5-8千/月,"['无需经验', '本科']",民营公司,
数据分析（平台管理员）,创颖峻网络科技（深圳）有限公司,广州,0.8-1.5万/月,"['在校生/应届生', '本科']",外资（非欧美）,500-1000人
（华润置地）数据分析师/购物中心,华润置地商业管理服务事业部-南京项目,南京-浦口区,6-8千/月,"['1年经验', '本科']",国企,150-500人
大数据分析助理工程师实习生/提供住宿/双休,深圳明珑薪科技有限公司,深圳-南山区,5-6千/月,"['在校生/应届生', '大专']",民营公司,少于50人
物流数据分析/年底双薪,西安美品汇网络科技有限公司,深圳-福田区,6-8千/月,"['无需经验', '大专']",民营公司,150-500人
数据分析工程师,华中科技大学苏州脑空间信息研究院,苏州-工业园区,8-11万/年,"['1年经验', '本科']",事业单位,50-150人
数据分析,佛山绅度网络科技有限公司,佛山-南海区,0.6-1万/月,"['2年经验', '本科']",民营公司,少于50人
数据分析主管,辽宁贝壳房地产经纪有限公司,沈阳-浑南区,4.5-6千/月,"['2年经验', '本科']",民营公司,10000人以上
数据分析专员,蜡笔小新（福建）食品工业有限公司,泉州,4-6千/月,"['1年经验', '本科']",上市公司,1000-5000人
诚聘金融数据分析师,嘉诺恒盛（北京）教育科技有限公司,北京-朝阳区,0.6-1.5万/月,"['无需经验', '本科']",民营公司,50-150人
数据分析/统计员,云南中机汽车贸易有限公司,昆明-官渡区,4.5-6.5千/月,"['2年经验', '大专']",民营公司,150-500人
数据分析师/主管（零售方向）,深圳市零成本科技股份有限公司,深圳-罗湖区,1-1.5万/月,"['3-4年经验', '大专']",民营公司,150-500人
数据分析算法代码开发工程师,上海赛赛汽车技术服务有限公司,上海-浦东新区,0.8-1.2万/月,"['1年经验', '本科']",民营公司,500-1000人
数据分析专员,上海梁玉玺实业集团有限公司,上海,0.7-1万/月,"['2年经验', '本科']",民营公司,150-500人
诚聘数据分析员 有股票经验优先,南昌诚讯投资咨询有限公司,南昌-青山湖区,0.8-1万/月,"['在校生/应届生', '高中']",民营公司,150-500人
德祐/数据分析主管,辽宁贝壳房地产经纪有限公司,沈阳-浑南区,4-6千/月,"['3-4年经验', '本科']",民营公司,10000人以上
数据分析专员/助理,湖北阳光诺信科技有限公司,武汉,3-4.5千/月,"['无需经验', '大专']",民营公司,150-500人
数据分析师(J10067),上海特思尔大宇宙商务咨询有限公司,上海-静安区,1-1.4万/月,"['2年经验', '本科']",外资（非欧美）,1000-5000人
数据分析师（0023030405）,上海特朗思大宇宙信息技术服务有限公司,上海-静安区,1-1.5万/月,"['2年经验', '大专']",合资,1000-5000人
数据分析及推广,广州溪林园艺有限公司,广州-花都区,4-5.5千/月,"['1年经验', '大专']",民营公司,50-150人
后台数据分析师（高薪）,四川浪涛涛信息技术有限公司,武汉,6-8千/月,"['1年经验', '本科']",民营公司,50-150人
数据分析师,深圳市聚讯科技有限公司,深圳-福田区,1.5-2万/月,"['2年经验', '本科']",民营公司,50-150人
数据分析,上海润朗贸易有限公司,异地招聘,0.5-1万/月,"['2年经验', '大专']",民营公司,150-500人
数据分析（跨境电商）,上海竹棠贸易有限公司,上海,0.8-1.2万/月,"['3-4年经验', '本科']",民营公司,50-150人
数据分析专员,固生堂中医连锁集团,广州-南沙区,4.5-7千/月,"['1年经验', '大专']",民营公司,1000-5000人
医学影像数据分析师,中电通商数字技术（上海）有限公司,重庆-渝中区,1.5-2万/月,"['3-4年经验', '本科']",国企,50-150人
数据分析主管,湖州织里阿龙衣族服饰有限公司,湖州,0.8-1.2万/月,"['3-4年经验', '大专']",民营公司,150-500人
数据分析专员,武汉青花服装设计制作有限公司,武汉-江岸区,3-4.5千/月,"['2年经验', '大专']",民营公司,500-1000人
期货事业部--数据分析师（量化交易）,辽宁远富华控股集团有限公司,沈阳-沈河区,0.8-1.5万/月,"['3-4年经验', '本科']",民营公司,50-150人
数据分析助理,武汉凌齐网络科技有限公司,武汉-武昌区,3-4.5千/月,"['在校生/应届生', '高中']",民营公司,50-150人
数据分析经理,苏州绿叶日用品有限公司,苏州-高新区,1-1.5万/月,"['5-7年经验', '大专']",民营公司,1000-5000人
数据分析师,律正投资管理（上海）有限公司,武汉,6-8千/月,"['3-4年经验', '本科']",民营公司,1000-5000人
数据分析专家,佑恩睿德（成都）科技有限公司,北京-海淀区,3-4万/月,"['无需经验', '本科']",民营公司,少于50人
BD经理/支付宝数据分析师,上海人瑞网络科技有限公司,南京-建邺区,0.7-1.2万/月,"['无需经验', '大专']",民营公司,
数据分析专员/包吃包住/五险一金,广东袋鼠妈妈集团有限公司,广州-增城区,5-8千/月,"['1年经验', '大专']",民营公司,1000-5000人
数据分析主管,武汉掌游科技有限公司,武汉-洪山区,1.5-2.5万/月,"['5-7年经验', '本科']",民营公司,150-500人
数据分析师,西昊家具（深圳）有限公司,深圳-宝安区,0.8-1万/月,"['2年经验', '大专']",民营公司,150-500人
数据分析员,东莞东风南方大新汽车销售服务有限公司,东莞-东城区,4.5-6千/月,"['无需经验', '本科']",国企,50-150人
数据分析经理,百德沃贸易(香港）有限公司,上海,1.5-2万/月,"['2年经验', '大专']",合资,50-150人
数据分析员,盛隆石油管检测技术有限公司,上海,4.5-6千/月,"['无需经验', '中专']",外资（非欧美）,50-150人
数据分析专员,成都鞋仓网信息科技有限公司,成都-双流区,4-8千/月,"['2年经验', '大专']",民营公司,150-500人
数据分析员（外卖行业）,武汉吾饮良品餐饮管理有限公司,武汉-东西湖区,4-6千/月,['1年经验'],民营公司,150-500人
数据分析岗,安能聚创供应链管理（武汉）有限公司,武汉-东西湖区,6-7千/月,"['1年经验', '本科']",民营公司,10000人以上
excel  数据分析员,江西顶呱呱建设咨询有限公司,南昌-青山湖区,0.8-1万/月,"['3-4年经验', '大专']",民营公司,50-150人
数据分析师,杭州锅炉集团股份有限公司,杭州-江干区,0.6-1万/月,"['3-4年经验', '本科']",民营公司,1000-5000人
数据分析主管,武汉极光美臣商贸有限公司,武汉-武昌区,8-10万/年,"['2年经验', '大专']",外资（非欧美）,150-500人
数据分析专员,深圳市宝元体育用品有限公司,深圳-福田区,0.6-1万/月,"['3-4年经验', '大专']",上市公司,150-500人
数据分析师,日铠电脑配件有限公司,盐城,3-4.5千/月,"['在校生/应届生', '本科']",上市公司,10000人以上
数据分析师,泉后（广州）生物科技有限公司,广州-白云区,1-1.5万/月,"['3-4年经验', '本科']",民营公司,500-1000人
数据分析工程师（双休+14薪）,成都优格瑞得科技有限公司,深圳-南山区,4-8千/月,"['无需经验', '大专']",民营公司,500-1000人
风投专员（数据分析方向）,山西金领协弘信息科技服务有限公司,太原,6-8千/月,"['1年经验', '大专']",合资,
数据开发工程师/数据分析师,肇庆市现代筑美家居有限公司,肇庆,0.6-1万/月,"['2年经验', '大专']",外资（欧美）,5000-10000人
数据分析主管,海普诺凯生物科技有限公司,长沙,0.8-1.2万/月,"['2年经验', '本科']",上市公司,1000-5000人
数据分析师,四川鑫迈达广告有限公司,西安,4.5-6千/月,"['1年经验', '本科']",民营公司,150-500人
数据分析员,广东信丰物流有限公司,东莞,4-6千/月,"['1年经验', '大专']",民营公司,5000-10000人
数据分析师,永定河怀来生态发展有限公司,北京,1.5-2万/月,"['2年经验', '本科']",国企,150-500人
数据分析师 4k起 双休,四川省善美文化传媒有限公司,成都-锦江区,6-8千/月,"['1年经验', '本科']",民营公司,150-500人
数据分析专员,广州文创智联科技有限公司,广州-白云区,4-6千/月,"['1年经验', '中专']",民营公司,少于50人
数据分析师,微特技术有限公司,异地招聘,1-2万/月,"['3-4年经验', '本科']",民营公司,50-150人
巡查部数据分析专员,胡宇臣（武汉）贸易有限公司,武汉-武昌区,0.6-1万/月,"['5-7年经验', '大专']",合资,500-1000人
《21万顶薪》数据分析工程师00,Topgames,青岛-市南区,0.5-1.5万/月,"['2年经验', '本科']",民营公司,150-500人
财务数据分析员（电商）,上海钘晟电子科技有限公司,上海-杨浦区,0.8-1万/月,"['1年经验', '本科']",民营公司,150-500人
数据分析主管,武汉艾菲妮斯智能家居有限公司,武汉-武昌区,1-1.5万/月,"['3-4年经验', '大专']",民营公司,150-500人
金融数据分析师+周末双休,中国平安人寿保险股份有限公司重庆市江北支公司,重庆-江北区,4.5-6千/月,"['在校生/应届生', '大专']",民营公司,10000人以上
数据分析师,嘉兴恒杰生物制药股份有限公司,嘉兴-南湖区,5-6千/月,"['1年经验', '本科']",民营公司,50-150人
数据分析专员,上海瑞城供应链管理有限公司,上海-静安区,6-9千/月,"['1年经验', '大专']",民营公司,50-150人
财务主管（数据分析方向）,The Studio（中国）,深圳-罗湖区,0.8-1.2万/月,"['5-7年经验', '本科']",外资（欧美）,150-500人
销售内勤 数据分析专员 销售计划员  月薪5000+,成都中沃汽车销售服务有限公司,成都-新都区,5-7千/月,"['1年经验', '本科']",民营公司,50-150人
数据分析员,广州健业爱顿口腔门诊有限公司,佛山-禅城区,4.5-6千/月,"['1年经验', '大专']",民营公司,150-500人
中南派遣华为互联网数据分析师,中南国际人力资源（深圳）有限公司,深圳-龙岗区,1-1.5万/月,"['3-4年经验', '本科']",民营公司,10000人以上
推广专员（数据分析方向）,上海朵安诺电子商务有限公司,上海-徐汇区,1-1.2万/月,"['1年经验', '大专']",民营公司,少于50人
数据分析工程师,崇达技术股份有限公司,深圳,2-2.5万/月,"['3-4年经验', '本科']",上市公司,1000-5000人
信息部数据分析专员,红牛公司内蒙古分公司,呼和浩特,3.5-4.5千/月,"['2年经验', '大专']",外资（非欧美）,500-1000人
跨境电商数据分析师,正元智创科技集团（深圳）有限公司,深圳-龙岗区,0.8-1.5万/月,"['2年经验', '大专']",民营公司,50-150人
数据分析员,广州好莱客创意家居股份有限公司,广州-黄埔区,4.5-6千/月,"['2年经验', '大专']",上市公司,1000-5000人
数据分析,成都香榭丽实业有限公司,成都-武侯区,4-6千/月,"['1年经验', '大专']",民营公司,150-500人
数据分析,重庆校贝贝服饰有限公司,重庆-江北区,3-4千/月,"['1年经验', '高中']",民营公司,50-150人
数据分析工程师,上海紫燕食品股份有限公司,上海-闵行区,1-1.6万/月,"['2年经验', '大专']",民营公司,5000-10000人
财务数据分析专员,深圳吉丫头电子商务有限公司,深圳-南山区,6-8千/月,['2年经验'],民营公司,50-150人
数据分析师,瑞庭网络技术（上海）有限公司厦门分公司,厦门,6-8千/月,"['2年经验', '本科']",上市公司,10000人以上
大数据分析规划岗,中国平安人寿保险股份有限公司西安电话销售中心,西安-雁塔区,4.5-6千/月,"['无需经验', '大专']",民营公司,10000人以上
数据分析师 (MJ000083),搜款网VVIC,广州-天河区,1.5-2.5万/月,"['3-4年经验', '本科']",民营公司,150-500人
数据分析专家(J200310016),滴滴,北京-海淀区,1.5-2万/月,"['3-4年经验', '本科']",民营公司,10000人以上
资深数据分析师,华人运通控股（上海）有限公司,上海-杨浦区,,"['5-7年经验', '本科']",民营公司,1000-5000人
校园招聘-数据分析专员,施耐德电气中国物流中心,上海,,"['在校生/应届生', '本科']",,
