name,company,workarea,salary,requirements,company_type,company_size
数据分析师（农业）,广东省南方名牌农产品推进中心,广州,0.7-1.5万/月,"['无需经验', '硕士']",非营利组织,50-150人
数据分析岗（陆金所平台）,2020年前海企业香港校园招聘行,上海,,['硕士'],事业单位,
大数据分析师（上海）,北京赛目科技有限公司,上海,,['博士'],民营公司,
产险宁波分公司-财务数据分析岗,产险宁波分公司,宁波,,['本科'],国企,
产险常州分公司-数据分析师,产险常州分公司,常州,,['本科'],国企,
产险营运华南分中心-数据分析岗（佛山）,产险营运华南分中心,佛山,,['本科'],国企,
产险天津分公司-数据分析岗（天津）,产险天津分公司,天津,,['本科'],国企,
产险新疆分公司-客户数据分析岗（乌鲁木齐）,产险新疆分公司,乌鲁木齐,,['本科'],国企,
产险甘肃分公司-客户数据分析岗（兰州）,产险甘肃分公司,兰州,,['本科'],国企,
产险深圳分公司-数据分析管培生,产险深圳分公司,深圳,,['本科'],国企,
临床/遗传数据分析师,南京世和基因生物技术股份有限公司,南京,,['硕士'],民营公司,
数据分析师,中车南京浦镇车辆有限公司,南京,,['硕士'],民营公司,
统计分析师/数据分析师/营销分析师,美库尔商务信息咨询（南京）有限公司,南京,,['本科'],民营公司,
数据分析工程师,北京锐安科技有限公司,北京,,['本科'],民营公司,
数据分析应用（事业）(市级目录）,阜阳市#阜阳市大数据产业发展中心,安徽省,1-1.5万/月,"['在校生/应届生', '硕士']",事业单位,
数据分析师,深圳市泽宝创新技术有限公司,深圳,6-8千/月,"['在校生/应届生', '本科']",民营公司,
产品运营岗-偏数据分析方向（深圳）,深圳市奥星房地产开发有限公司,深圳,,['本科'],民营公司,
数据分析岗（14薪，双休，上市公司）,贝壳找房佛山站,佛山-南海区,6-9千/月,"['3-4年经验', '本科']",上市公司,1000-5000人
大数据分析与采集,四川联通--资阳市分公司,资阳,,['本科'],国企,
数据分析大数据挖掘与建模,四川联通--内江市分公司,内江,,['本科'],国企,
大数据分析与采集,四川联通--自贡市分公司,自贡,,['本科'],国企,
数据分析支撑,四川联通--巴中市分公司,巴中,,['本科'],国企,
互联网数据分析,四川联通--宜宾市分公司,宜宾,,['本科'],国企,
管培生（数据分析方向）,汇通达网络股份有限公司,南京,,['本科'],民营公司,
